norm,adjusted r,adjusted r-squared,r-squared,r,dataset,eval_type,normalized,var,language,dim,window,alg,family
,0.12179444967651341,0.014833887972004758,0.03196187245739368,0.1787788367156294,th.subs.2018.tsv,counts,True,unigram_freq,th,300,4,sg,word2vec
,0.13995940884904298,0.01958863612537357,0.05550223545703098,0.2355891242333376,th.wiki.2018.tsv,counts,True,unigram_freq,th,300,4,sg,word2vec
imagine_mean,0.4930335070487798,0.24308203907281922,0.3720160646637549,0.6099311966638162,Clarke2024.csv,norms,False,,th,500,6,cbow,fasttext
body_object_interaction_mean,0.0,-0.05222572696996251,-0.10877477570896166,0.0,Clarke2024.csv,norms,False,,th,500,6,cbow,fasttext
aoa_mean,0.0,-0.9242181167601469,-1.4110029015585737,0.0,Clarke2024.csv,norms,False,,th,500,6,cbow,fasttext
,0.14624417584008093,0.021387358967144506,0.046082324526007856,0.21466794014479165,th.subs.2018.tsv,counts,False,unigram_freq,th,500,6,cbow,fasttext
,0.08107882343423947,0.006573775609480579,0.018626066632912164,0.13647734842424278,th.wiki.2018.tsv,counts,False,unigram_freq,th,500,6,cbow,fasttext
imagine_mean,0.7335502837940645,0.5380960188543525,0.8235094789766124,0.9074742304752309,Clarke2024.csv,norms,True,,th,500,6,cbow,fasttext
body_object_interaction_mean,0.48874376244765955,0.23887046533149425,0.4975149758063241,0.7053474149710369,Clarke2024.csv,norms,True,,th,500,6,cbow,fasttext
aoa_mean,0.5052170121782621,0.2552442293943302,0.3896811172063925,0.6242444370648348,Clarke2024.csv,norms,True,,th,500,6,cbow,fasttext
,0.12295200265616843,0.015117194957162447,0.03257230053552046,0.18047797797936585,th.subs.2018.tsv,counts,True,unigram_freq,th,500,6,cbow,fasttext
,0.07245710496360083,0.005250032059706268,0.014875385589369183,0.12196468992855754,th.wiki.2018.tsv,counts,True,unigram_freq,th,500,6,cbow,fasttext
imagine_mean,0.0,-0.1657303406426331,-0.25363597144578154,0.0,Clarke2024.csv,norms,False,,th,500,6,cbow,word2vec
body_object_interaction_mean,0.16099867361407952,0.025920572905492906,0.05398688860117562,0.2323507878212932,Clarke2024.csv,norms,False,,th,500,6,cbow,word2vec
aoa_mean,0.0,-0.7937387860815104,-1.2118002340904612,0.0,Clarke2024.csv,norms,False,,th,500,6,cbow,word2vec
,0.19279241990901638,0.0371689171743745,0.08008609693890212,0.28299487087030767,th.subs.2018.tsv,counts,False,unigram_freq,th,500,6,cbow,word2vec
,0.148508492895102,0.022054772461974563,0.062489760200822086,0.24997951956274755,th.wiki.2018.tsv,counts,False,unigram_freq,th,500,6,cbow,word2vec
imagine_mean,0.7246710943445245,0.5251481949784906,0.8036939528989552,0.8964897952006788,Clarke2024.csv,norms,True,,th,500,6,cbow,word2vec
body_object_interaction_mean,0.4779735619004811,0.22845872587583305,0.4758295979334403,0.6898040286439623,Clarke2024.csv,norms,True,,th,500,6,cbow,word2vec
aoa_mean,0.4687689919753481,0.21974436783758397,0.335483513033593,0.5792093861753217,Clarke2024.csv,norms,True,,th,500,6,cbow,word2vec
,0.18372317543487965,0.033754205191875566,0.07272857953892309,0.269682367868059,th.subs.2018.tsv,counts,True,unigram_freq,th,500,6,cbow,word2vec
,0.12646592716137403,0.015993630732785962,0.0453161850096373,0.21287598504678093,th.wiki.2018.tsv,counts,True,unigram_freq,th,500,6,cbow,word2vec
imagine_mean,0.6751585138478956,0.455839018821299,0.6976222453493846,0.8352378375944092,Clarke2024.csv,norms,False,,th,500,6,sg,fasttext
body_object_interaction_mean,0.36789982534110516,0.1353502814860157,0.28190505647252934,0.5309473198656618,Clarke2024.csv,norms,False,,th,500,6,sg,fasttext
aoa_mean,0.0,-0.0026907823907030303,-0.004108014863476228,0.0,Clarke2024.csv,norms,False,,th,500,6,sg,fasttext
,0.10615585080317083,0.011269064659745065,0.02428091731909021,0.1558233529323837,th.subs.2018.tsv,counts,False,unigram_freq,th,500,6,sg,fasttext
,0.10033661760306323,0.010067436832023338,0.02852496957539402,0.16889336747011122,th.wiki.2018.tsv,counts,False,unigram_freq,th,500,6,sg,fasttext
