var,adjusted r,adjusted r-squared,r-squared,r,language,dim,window,algo,dataset,data_source
unigram_freq,0.250549988193537,0.0627752965837814,0.0564000167328969,0.237486876969859,af,500,4,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0329350727656346,0.00108471901807765,0.00387306668947668,0.0622339673287561,af,500,4,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.295633498208405,0.0873991652629393,0.07852315562846,0.280219834466549,af,500,5,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0342323837200725,0.00117185609515829,0.00418419584369534,0.0646853603506647,af,500,5,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.232171785456583,0.0539037379620975,0.0484294282699326,0.220066872268255,af,500,5,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0413489061814948,0.00170973204240606,0.00610472031098824,0.078132709609921,af,500,5,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.289119527160546,0.0835901009855378,0.0751009290413597,0.274045487175687,af,500,6,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0313953551817333,0.000985668326987189,0.00351939912595228,0.0593245238156387,af,500,6,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.261163249749053,0.0682062430194863,0.0612794117579833,0.247546787007998,af,500,6,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0319415274049732,0.00102026117296265,0.00364291535200612,0.0603565684247052,af,500,6,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.00137551582708014,1.89204379054796e-06,4.79090648286551e-05,0.00692163743839961,ar,50,1,cbow,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-3.67404158799445e-05,-0.000596219920403485,0,ar,50,1,cbow,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0,-1.29168249980799e-05,-0.000327071185828198,0,ar,50,1,sg,dedup.ar.words.unigrams.tsv,Subtitles
unigram_freq,0,-2.86773758698422e-05,-0.000465373685871407,0,ar,50,1,sg,dedup.arwiki-meta.words.unigrams.tsv,Wikipedia
